agency_name,stop_name,number_of_routes_served,route_id(s)_served,route_type,number_of_arrivals,number_of_hours_in_service,x,y,route_type_defined,geometry,county_name,total_arrivals,hqta_type,SB79_tier,route_type_defined	
Alameda-Contra Costa Transit District,Bancroft Av & 98th Av,1,40,3,41,14,-122.162219,37.748585,Bus,POINT (-122.162219 37.748585),Alameda,87,,,
Alameda-Contra Costa Transit District,Edes Av & Tyler St,1,45,3,41,18,-122.185479,37.7370930010001,Bus,POINT (-122.185479 37.7370930010001),Alameda,41,,,
Alameda-Contra Costa Transit District,Christie Av & 59th St,2,"36, J",3,41,19,-122.294933,37.841324,Bus,POINT (-122.294933 37.841324),Alameda,41,,,
Alameda-Contra Costa Transit District,Bancroft Av & 136th Av,1,40,3,41,14,-122.140755,37.715739,Bus,POINT (-122.140755 37.715739),Alameda,41,,,
Alameda-Contra Costa Transit District,Bancroft Av & Haas Av,1,40,3,41,14,-122.149438,37.730512,Bus,POINT (-122.149438 37.730512),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & Victoria Cir,1,40,3,41,14,-122.153353,37.736594,Bus,POINT (-122.153353 37.736594),Alameda,87,,,
Alameda-Contra Costa Transit District,8475 Edes Av,1,45,3,41,18,-122.194520001,37.740251001,Bus,POINT (-122.194520001 37.740251001),Alameda,41,,,
Alameda-Contra Costa Transit District,14341 Bancroft Av (Opp. Jefferson Center School),1,40,3,41,14,-122.136049,37.712367,Bus,POINT (-122.136049 37.712367),Alameda,41,,,
Alameda-Contra Costa Transit District,105th Av & Edes Av,1,45,3,41,18,-122.178264,37.733441,Bus,POINT (-122.178264 37.733441),Alameda,41,,,
Alameda-Contra Costa Transit District,Bancroft Av & San Leandro High School,1,40,3,41,14,-122.143141,37.7174610000001,Bus,POINT (-122.143141 37.7174610000001),Alameda,87,,,
Alameda-Contra Costa Transit District,University Av & Marina Blvd,1,51B,3,41,18,-122.311537,37.864765,Bus,POINT (-122.311537 37.864765),Alameda,83,,,
Alameda-Contra Costa Transit District,Bancroft Av & 109th Av,1,40,3,41,14,-122.155747,37.739814,Bus,POINT (-122.155747 37.739814),Alameda,41,,,
Alameda-Contra Costa Transit District,Bancroft Av & 87th Av,1,40,3,41,14,-122.167311,37.755458,Bus,POINT (-122.167311 37.755458),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & 99th Av,1,40,3,41,14,-122.16029,37.745976,Bus,POINT (-122.16029 37.745976),Alameda,87,,,
Alameda-Contra Costa Transit District,Seminary Av & Hilton St,1,45,3,41,18,-122.1933,37.769435,Bus,POINT (-122.1933 37.769435),Alameda,41,,,
Alameda-Contra Costa Transit District,Bancroft Av & 82nd Av,1,40,3,41,14,-122.170477001,37.75971,Bus,POINT (-122.170477001 37.75971),Alameda,87,,,
Alameda-Contra Costa Transit District,San Leandro St & 66th Av,1,45,3,41,18,-122.200507001,37.756782,Bus,POINT (-122.200507001 37.756782),Alameda,133,,,
Alameda-Contra Costa Transit District,Bancroft Av & Dutton Av,1,40,3,41,14,-122.151629,37.7342580000001,Bus,POINT (-122.151629 37.7342580000001),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & Sybil Av,1,40,3,41,14,-122.145498,37.7214200000001,Bus,POINT (-122.145498 37.7214200000001),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & 96th Av,1,40,3,41,14,-122.163152,37.7498410000001,Bus,POINT (-122.163152 37.7498410000001),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & Ritchie St,1,40,3,41,14,-122.172894001,37.762145,Bus,POINT (-122.172894001 37.762145),Alameda,87,,,
Alameda-Contra Costa Transit District,San Leandro St & Coliseum BART,1,45,3,41,18,-122.196866999,37.7535389990001,Bus,POINT (-122.196866999 37.7535389990001),Alameda,222,,,
Alameda-Contra Costa Transit District,Seminary Av & Bancroft Av,1,45,3,41,18,-122.191454,37.7707280000001,Bus,POINT (-122.191454 37.7707280000001),Alameda,41,,,
Alameda-Contra Costa Transit District,Bancroft Av & Estudillo Av,1,40,3,41,14,-122.147882,37.726927,Bus,POINT (-122.147882 37.726927),Alameda,41,,,
Alameda-Contra Costa Transit District,Adeline St & Russell St,1,F,3,41,20,-122.269009,37.855491,Bus,POINT (-122.269009 37.855491),Alameda,41,,,
Alameda-Contra Costa Transit District,Hollis St & 40th St,2,"29, J",3,41,17,-122.285017,37.829188,Bus,POINT (-122.285017 37.829188),Alameda,41,,,
Alameda-Contra Costa Transit District,Edes Av & Clara St,1,45,3,41,18,-122.187925,37.7377589990001,Bus,POINT (-122.187925 37.7377589990001),Alameda,41,,,
Alameda-Contra Costa Transit District,University Av & W Frontage Rd,1,51B,3,41,18,-122.306035,37.8664000000001,Bus,POINT (-122.306035 37.8664000000001),Alameda,83,,,
Alameda-Contra Costa Transit District,Bancroft Av & 103rd Av,1,40,3,41,14,-122.158545,37.743632,Bus,POINT (-122.158545 37.743632),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & 77th Av,1,40,3,41,14,-122.17439,37.76363,Bus,POINT (-122.17439 37.76363),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & 90th Av,1,40,3,41,14,-122.165682999,37.753273,Bus,POINT (-122.165682999 37.753273),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & Callan Av,1,40,3,41,14,-122.148461,37.728259001,Bus,POINT (-122.148461 37.728259001),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & 73rd Av,1,40,3,41,14,-122.176671,37.7654360000001,Bus,POINT (-122.176671 37.7654360000001),Alameda,87,,,
Alameda-Contra Costa Transit District,Hillmont Dr & Sunkist Dr,1,45,3,41,17,-122.169749,37.774546,Bus,POINT (-122.169749 37.774546),Alameda,41,,,
Alameda-Contra Costa Transit District,106th Av & Longfellow Av,1,45,3,41,18,-122.15519,37.742083,Bus,POINT (-122.15519 37.742083),Alameda,41,,,
Alameda-Contra Costa Transit District,Seminary Av & Laird Av,1,45,3,41,17,-122.181861,37.7779870000001,Bus,POINT (-122.181861 37.7779870000001),Alameda,41,,,
Alameda-Contra Costa Transit District,Bancroft Av & 94th Av,1,40,3,41,14,-122.164192,37.7512340010001,Bus,POINT (-122.164192 37.7512340010001),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & 85th Av,1,40,3,41,14,-122.169017999,37.7576970000001,Bus,POINT (-122.169017999 37.7576970000001),Alameda,87,,,
Alameda-Contra Costa Transit District,Bancroft Av & Link St (Near 106th Av),1,40,3,41,14,-122.15725,37.7418200000001,Bus,POINT (-122.15725 37.7418200000001),Alameda,41,,,
Alameda-Contra Costa Transit District,A St & Santa Clara St,2,"56, 93",3,42,17,-122.102686,37.6662400000001,Bus,POINT (-122.102686 37.6662400000001),Alameda,42,,,
Alameda-Contra Costa Transit District,Marlow Dr & Foothill Blvd,3,"34, 35, NX3",3,42,18,-122.139456,37.7345070000001,Bus,POINT (-122.139456 37.7345070000001),Alameda,42,,,
Alameda-Contra Costa Transit District,University Av & Bait Shop,1,51B,3,42,19,-122.313495,37.8637430000001,Bus,POINT (-122.313495 37.8637430000001),Alameda,125,,,
Alameda-Contra Costa Transit District,Meekland Av & E Lewelling Blvd,2,"34, 93",3,42,17,-122.116962,37.6861040000001,Bus,POINT (-122.116962 37.6861040000001),Alameda,42,,,
Alameda-Contra Costa Transit District,Meekland Av & Paseo Grande,2,"34, 93",3,42,17,-122.116875,37.684893,Bus,POINT (-122.116875 37.684893),Alameda,86,,,
Alameda-Contra Costa Transit District,A St & Filbert St,2,"56, 93",3,42,17,-122.096062,37.668255,Bus,POINT (-122.096062 37.668255),Alameda,86,,,
Alameda-Contra Costa Transit District,Seawall Dr & University Av,1,51B,3,42,19,-122.317278,37.8628130000001,Bus,POINT (-122.317278 37.8628130000001),Alameda,42,,,
Alameda-Contra Costa Transit District,Walnut Av & Overacker Av,2,"217, 232",3,43,15,-121.962673,37.564913,Bus,POINT (-121.962673 37.564913),Alameda,43,,,
Alameda-Contra Costa Transit District,Walnut Av & Godfrey Pl,2,"217, 232",3,43,15,-121.964489,37.563586,Bus,POINT (-121.964489 37.563586),Alameda,43,,,
Alameda-Contra Costa Transit District,Oxford St & University Av,2,"65, 67",3,43,14,-122.266204,37.872173,Bus,POINT (-122.266204 37.872173),Alameda,43,,,
Alameda-Contra Costa Transit District,Mowry Av & Lexington St,1,200,3,44,18,-121.986983,37.5506030000001,Bus,POINT (-121.986983 37.5506030000001),Alameda,89,,,
Alameda-Contra Costa Transit District,Mowry Av & Argonaut Way,1,200,3,44,18,-121.991025,37.5456740000001,Bus,POINT (-121.991025 37.5456740000001),Alameda,89,,,
Alameda-Contra Costa Transit District,Central Av & Cherry St,1,200,3,44,18,-122.026481,37.528170001,Bus,POINT (-122.026481 37.528170001),Alameda,102,,,
Alameda-Contra Costa Transit District,Filbert St & Central Av,1,200,3,44,18,-122.034718,37.522076,Bus,POINT (-122.034718 37.522076),Alameda,89,,,
Alameda-Contra Costa Transit District,Decoto Rd & Cabrillo Dr,1,200,3,44,19,-122.035995,37.5665210000001,Bus,POINT (-122.035995 37.5665210000001),Alameda,89,,,
Alameda-Contra Costa Transit District,Filbert St & Enterprise Dr,1,200,3,44,18,-122.036328,37.525269999,Bus,POINT (-122.036328 37.525269999),Alameda,134,,,
Alameda-Contra Costa Transit District,Thornton Av & Arden St,1,200,3,44,18,-122.031898,37.535129,Bus,POINT (-122.031898 37.535129),Alameda,44,,,
Alameda-Contra Costa Transit District,2557 Mowry Av,1,200,3,44,18,-121.982580999,37.5560130000001,Bus,POINT (-121.982580999 37.5560130000001),Alameda,44,,,
Alameda-Contra Costa Transit District,Mowry Av & Blacow Rd,1,200,3,44,18,-121.998111,37.5370250010001,Bus,POINT (-121.998111 37.5370250010001),Alameda,44,,,
Alameda-Contra Costa Transit District,Newark Blvd & Newark Community Park,1,200,3,44,18,-122.042762999,37.5472730000001,Bus,POINT (-122.042762999 37.5472730000001),Alameda,44,,,
Alameda-Contra Costa Transit District,Central Av & Birch St,1,200,3,44,18,-122.021839999,37.533842,Bus,POINT (-122.021839999 37.533842),Alameda,89,,,
Alameda-Contra Costa Transit District,Decoto Rd & Ozark River Way,1,200,3,44,19,-122.034007,37.568855999,Bus,POINT (-122.034007 37.568855999),Alameda,89,,,
Alameda-Contra Costa Transit District,Mowry Av & Logan Dr,1,200,3,44,18,-121.993241001,37.5429320000001,Bus,POINT (-121.993241001 37.5429320000001),Alameda,89,,,
Alameda-Contra Costa Transit District,Newark Blvd & Lafayette Av,1,200,3,44,18,-122.035760999,37.543552,Bus,POINT (-122.035760999 37.543552),Alameda,89,,,
Alameda-Contra Costa Transit District,Mowry Av & Fremont Blvd,1,200,3,44,18,-121.98898,37.548169,Bus,POINT (-121.98898 37.548169),Alameda,89,,,
Alameda-Contra Costa Transit District,Newark Blvd & Musick Av,1,200,3,44,18,-122.034029,37.5408330000001,Bus,POINT (-122.034029 37.5408330000001),Alameda,44,,,
Alameda-Contra Costa Transit District,Mowry Av & Paseo Padre Pkwy,1,200,3,44,18,-121.983848999,37.554446,Bus,POINT (-121.983848999 37.554446),Alameda,89,,,
Alameda-Contra Costa Transit District,Mowry Av & Farwell Dr,1,200,3,44,18,-122.000481,37.5341110000001,Bus,POINT (-122.000481 37.5341110000001),Alameda,89,,,
Alameda-Contra Costa Transit District,Carter Av & Sycamore St,1,200,3,44,18,-122.036882,37.5280680000001,Bus,POINT (-122.036882 37.5280680000001),Alameda,89,,,
Alameda-Contra Costa Transit District,Central Av & Morton Av,1,200,3,44,18,-122.031558,37.522222001,Bus,POINT (-122.031558 37.522222001),Alameda,89,,,
Alameda-Contra Costa Transit District,Mowry Av & Glenview Dr,1,200,3,44,18,-121.996821,37.5385810000001,Bus,POINT (-121.996821 37.5385810000001),Alameda,44,,,
Alameda-Contra Costa Transit District,Newark Blvd & Ruschin Dr,1,200,3,44,18,-122.040573,37.545868,Bus,POINT (-122.040573 37.545868),Alameda,44,,,
Alameda-Contra Costa Transit District,A St & Meekland Av Access Rd,2,"56, 93",3,44,19,-122.097892999,37.667737,Bus,POINT (-122.097892999 37.667737),Alameda,44,,,
Alameda-Contra Costa Transit District,Central Av & Cedar Blvd,1,200,3,44,18,-122.019608,37.5365800000001,Bus,POINT (-122.019608 37.5365800000001),Alameda,44,,,
Alameda-Contra Costa Transit District,Sycamore St & Thornton Av,1,200,3,44,18,-122.037831,37.5298740000001,Bus,POINT (-122.037831 37.5298740000001),Alameda,89,,,
Alameda-Contra Costa Transit District,E Lewelling Blvd & Meekland Av,2,"34, 93",3,44,18,-122.117394,37.6867320000001,Bus,POINT (-122.117394 37.6867320000001),Alameda,44,,,
Alameda-Contra Costa Transit District,Central Av & Sycamore St,1,200,3,44,18,-122.029099,37.5248480000001,Bus,POINT (-122.029099 37.5248480000001),Alameda,89,,,
Alameda-Contra Costa Transit District,Thornton Av & Olive St,1,200,3,44,18,-122.035582,37.530844001,Bus,POINT (-122.035582 37.530844001),Alameda,44,,,
Alameda-Contra Costa Transit District,Paseo Padre Pkwy & Mission View Dr,2,"215, 239",3,45,17,-121.965177,37.544784,Bus,POINT (-121.965177 37.544784),Alameda,91,,,
Alameda-Contra Costa Transit District,Hopkins St & The Alameda,1,12,3,45,19,-122.275195,37.88534,Bus,POINT (-122.275195 37.88534),Alameda,45,,,
Alameda-Contra Costa Transit District,Thornton Av & Cherry St,1,200,3,45,19,-122.033798,37.5332300000001,Bus,POINT (-122.033798 37.5332300000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Russell St,1,12,3,45,19,-122.271206,37.856369999,Bus,POINT (-122.271206 37.856369999),Alameda,91,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & 55th St,1,12,3,45,19,-122.269537,37.8400639990001,Bus,POINT (-122.269537 37.8400639990001),Alameda,114,,,
Alameda-Contra Costa Transit District,Grand Av & Fairview Av,1,12,3,45,20,-122.244223,37.820072,Bus,POINT (-122.244223 37.820072),Alameda,45,,,
Alameda-Contra Costa Transit District,Grand Av & Weldon Av,1,12,3,45,19,-122.245399,37.816242,Bus,POINT (-122.245399 37.816242),Alameda,91,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Parker St,1,12,3,45,19,-122.271826,37.8617780000001,Bus,POINT (-122.271826 37.8617780000001),Alameda,91,,,
Alameda-Contra Costa Transit District,Hopkins St & Colusa Av,1,12,3,45,19,-122.279578,37.882928,Bus,POINT (-122.279578 37.882928),Alameda,45,,,
Alameda-Contra Costa Transit District,Gilman St & Cornell Av,1,12,3,45,19,-122.293417,37.8810260000001,Bus,POINT (-122.293417 37.8810260000001),Alameda,91,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Dwight Way,1,12,3,45,19,-122.272027,37.863595,Bus,POINT (-122.272027 37.863595),Alameda,91,,,
Alameda-Contra Costa Transit District,Gilman St & 6th St,1,12,3,45,19,-122.301843,37.879358,Bus,POINT (-122.301843 37.879358),Alameda,45,,,
Alameda-Contra Costa Transit District,Gilman St & 8th St,1,12,3,45,19,-122.299063,37.8799030000001,Bus,POINT (-122.299063 37.8799030000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Prince St (Ashby BART),1,12,3,45,19,-122.270796,37.8530920000001,Bus,POINT (-122.270796 37.8530920000001),Alameda,45,,,
Alameda-Contra Costa Transit District,51st St & Desmond St,1,12,3,45,19,-122.253296,37.8351480000001,Bus,POINT (-122.253296 37.8351480000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Ashby Av & Deakin St,2,"7, 800",3,45,22,-122.262621,37.855868,Bus,POINT (-122.262621 37.855868),Alameda,92,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & 59th St,1,12,3,45,19,-122.270404,37.844186,Bus,POINT (-122.270404 37.844186),Alameda,91,,,
Alameda-Contra Costa Transit District,Pleaseant Valley Av & Gilbert St,1,12,3,45,19,-122.250297,37.8335690000001,Bus,POINT (-122.250297 37.8335690000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Gilman St & Ordway St,1,12,3,45,19,-122.286896,37.880747,Bus,POINT (-122.286896 37.880747),Alameda,91,,,
Alameda-Contra Costa Transit District,S Grimmer Blvd & Wisdom Way,2,"215, 239",3,45,17,-121.94556,37.50307,Bus,POINT (-121.94556 37.50307),Alameda,45,,,
Alameda-Contra Costa Transit District,Decoto Rd & Fremont Blvd,1,200,3,45,18,-122.032973999,37.5706010000001,Bus,POINT (-122.032973999 37.5706010000001),Alameda,160,,,
Alameda-Contra Costa Transit District,Walnut Av & Godfrey St,2,"217, 232",3,45,16,-121.964014,37.5636450000001,Bus,POINT (-121.964014 37.5636450000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Gilman St & Neilson St,1,12,3,45,19,-122.288968,37.88124,Bus,POINT (-122.288968 37.88124),Alameda,45,,,
Alameda-Contra Costa Transit District,Linda Av & Rose Av,1,12,3,45,19,-122.247876,37.82518,Bus,POINT (-122.247876 37.82518),Alameda,91,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Bancroft Way,1,12,3,45,19,-122.272462,37.867176,Bus,POINT (-122.272462 37.867176),Alameda,91,,,
Alameda-Contra Costa Transit District,Hopkins St & Monterey Av,1,12,3,45,19,-122.281833,37.8818150010001,Bus,POINT (-122.281833 37.8818150010001),Alameda,45,,,
Alameda-Contra Costa Transit District,Mowry Av & Alpenrose Ct,1,200,3,45,19,-122.005643,37.527178,Bus,POINT (-122.005643 37.527178),Alameda,45,,,
Alameda-Contra Costa Transit District,Linda Av & Lake Av,1,12,3,45,20,-122.247049,37.824167,Bus,POINT (-122.247049 37.824167),Alameda,91,,,
Alameda-Contra Costa Transit District,Piedmont Av & Brandon St,1,12,3,45,19,-122.247879001,37.8297620000001,Bus,POINT (-122.247879001 37.8297620000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Piedmont Av & Echo Av,1,12,3,45,19,-122.249046,37.828867001,Bus,POINT (-122.249046 37.828867001),Alameda,45,,,
Alameda-Contra Costa Transit District,55th St & Telegraph Av,1,12,3,45,19,-122.262232,37.8403220000001,Bus,POINT (-122.262232 37.8403220000001),Alameda,91,,,
Alameda-Contra Costa Transit District,Gilman St & San Pablo Av,1,12,3,45,19,-122.296369,37.8804519990001,Bus,POINT (-122.296369 37.8804519990001),Alameda,91,,,
Alameda-Contra Costa Transit District,Linda Av & Grand Av,1,12,3,45,20,-122.244168,37.8217010000001,Bus,POINT (-122.244168 37.8217010000001),Alameda,91,,,
Alameda-Contra Costa Transit District,University Av & 4th St,1,51B,3,45,19,-122.299557,37.867465,Bus,POINT (-122.299557 37.867465),Alameda,96,,,
Alameda-Contra Costa Transit District,Mowry Av & Hastings St,1,200,3,45,19,-121.984106,37.5535580000001,Bus,POINT (-121.984106 37.5535580000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Ashby Av & Shattuck Av,2,"7, 800",3,45,22,-122.266833,37.8553460000001,Bus,POINT (-122.266833 37.8553460000001),Alameda,92,,,
Alameda-Contra Costa Transit District,Mowry Av & State St,1,200,3,45,19,-121.985976999,37.551271,Bus,POINT (-121.985976999 37.551271),Alameda,45,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & 61st St,1,12,3,45,19,-122.270771001,37.8459750000001,Bus,POINT (-122.270771001 37.8459750000001),Alameda,91,,,
Alameda-Contra Costa Transit District,Hopkins St & Albina Av,1,12,3,45,19,-122.284164,37.8805760000001,Bus,POINT (-122.284164 37.8805760000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Hopkins St & Beverly Pl,1,12,3,45,19,-122.276688,37.8843660000001,Bus,POINT (-122.276688 37.8843660000001),Alameda,91,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Stuart St,1,12,3,45,19,-122.271418001,37.858161001,Bus,POINT (-122.271418001 37.858161001),Alameda,91,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Aileen St,1,12,3,45,19,-122.269852,37.841593,Bus,POINT (-122.269852 37.841593),Alameda,91,,,
Alameda-Contra Costa Transit District,Broadway & Embarcadero W,1,12,3,45,19,-122.276533,37.7955649990001,Bus,POINT (-122.276533 37.7955649990001),Alameda,45,,,
Alameda-Contra Costa Transit District,Grand Av & Wildwood Av,1,12,3,45,19,-122.244629,37.8186430000001,Bus,POINT (-122.244629 37.8186430000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Ashby Av (Ashby BART),1,12,3,45,19,-122.271011,37.8545590000001,Bus,POINT (-122.271011 37.8545590000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Newark Blvd & Brittany Av,1,200,3,45,19,-122.041041,37.54582,Bus,POINT (-122.041041 37.54582),Alameda,45,,,
Alameda-Contra Costa Transit District,Grand Av & Lake Park Av,1,12,3,45,19,-122.247907,37.8112170000001,Bus,POINT (-122.247907 37.8112170000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Channing Way,1,12,3,45,19,-122.272265,37.86533,Bus,POINT (-122.272265 37.86533),Alameda,91,,,
Alameda-Contra Costa Transit District,51st St & Manila Av,1,12,3,45,19,-122.255608,37.8360640010001,Bus,POINT (-122.255608 37.8360640010001),Alameda,45,,,
Alameda-Contra Costa Transit District,Paseo Padre Pkwy & Rockett Dr,2,"215, 239",3,45,17,-121.961491,37.542067,Bus,POINT (-121.961491 37.542067),Alameda,45,,,
Alameda-Contra Costa Transit District,Mowry Av & Sutter Dr,1,200,3,45,19,-121.99645,37.5385220000001,Bus,POINT (-121.99645 37.5385220000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Pleasant Valley Av & Montgomery St,1,12,3,45,19,-122.24907,37.831829,Bus,POINT (-122.24907 37.831829),Alameda,91,,,
Alameda-Contra Costa Transit District,Linda Av & Glen Av,1,12,3,45,19,-122.249753999,37.826357999,Bus,POINT (-122.249753999 37.826357999),Alameda,45,,,
Alameda-Contra Costa Transit District,Ashby Av & Wheeler St,2,"7, 800",3,45,22,-122.264836,37.8555879990001,Bus,POINT (-122.264836 37.8555879990001),Alameda,92,,,
Alameda-Contra Costa Transit District,Ashby Av & Adeline St (Ashby BART),2,"7, 800",3,45,22,-122.26847,37.8551210000001,Bus,POINT (-122.26847 37.8551210000001),Alameda,92,,,
Alameda-Contra Costa Transit District,Paseo Padre Pkwy & Sailway Dr,2,"215, 239",3,45,17,-121.968908,37.547093999,Bus,POINT (-121.968908 37.547093999),Alameda,91,,,
Alameda-Contra Costa Transit District,Newark Blvd & Mayhews Landing Rd,1,200,3,45,19,-122.034141001,37.5404270000001,Bus,POINT (-122.034141001 37.5404270000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Embarcadero W & Franklin St,1,12,3,45,19,-122.275805001,37.795086,Bus,POINT (-122.275805001 37.795086),Alameda,91,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Allston Way,1,12,3,45,19,-122.272629,37.8684460000001,Bus,POINT (-122.272629 37.8684460000001),Alameda,91,,,
Alameda-Contra Costa Transit District,Grand Av & Mandana Blvd,1,12,3,45,19,-122.246277,37.813949001,Bus,POINT (-122.246277 37.813949001),Alameda,45,,,
Alameda-Contra Costa Transit District,Thornton Av & Newark Blvd,1,200,3,45,19,-122.031252,37.5364290000001,Bus,POINT (-122.031252 37.5364290000001),Alameda,45,,,
Alameda-Contra Costa Transit District,51st St & Miles Av,1,12,3,45,19,-122.260355,37.8371460000001,Bus,POINT (-122.260355 37.8371460000001),Alameda,45,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Derby St,1,12,3,45,19,-122.271627,37.8599840000001,Bus,POINT (-122.271627 37.8599840000001),Alameda,91,,,
Alameda-Contra Costa Transit District,Ashby Av & Telegraph Av,2,"7, 800",3,45,22,-122.260145001,37.856207,Bus,POINT (-122.260145001 37.856207),Alameda,45,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Arlington Av,1,12,3,45,19,-122.270086,37.8426440000001,Bus,POINT (-122.270086 37.8426440000001),Alameda,91,,,
Alameda-Contra Costa Transit District,51st St & Shafter Av,1,12,3,45,19,-122.258083,37.836759,Bus,POINT (-122.258083 37.836759),Alameda,45,,,
Alameda-Contra Costa Transit District,Gilman St & Santa Fe Av,1,12,3,45,19,-122.291109,37.88149,Bus,POINT (-122.291109 37.88149),Alameda,91,,,
Alameda-Contra Costa Transit District,Linda Av & Piedmont Av,1,12,3,45,19,-122.250999,37.827231,Bus,POINT (-122.250999 37.827231),Alameda,45,,,
Alameda-Contra Costa Transit District,Gilman St & 7th St,1,12,3,46,19,-122.300438999,37.87949,Bus,POINT (-122.300438999 37.87949),Alameda,46,,,
Alameda-Contra Costa Transit District,2nd St & Oakland Amtrak,1,12,3,46,19,-122.271312,37.7940140000001,Bus,POINT (-122.271312 37.7940140000001),Alameda,46,,,
Alameda-Contra Costa Transit District,Grand Av & Sunnyside Av,1,12,3,46,19,-122.244289,37.820573,Bus,POINT (-122.244289 37.820573),Alameda,46,,,
Alameda-Contra Costa Transit District,Gilman St & Curtis St,1,12,3,46,19,-122.289874,37.881348001,Bus,POINT (-122.289874 37.881348001),Alameda,46,,,
Alameda-Contra Costa Transit District,Glen Av & Linda Av,1,12,3,46,19,-122.249894,37.8262490000001,Bus,POINT (-122.249894 37.8262490000001),Alameda,46,,,
Alameda-Contra Costa Transit District,Piedmont Av & Ridgeway Av,1,12,3,46,19,-122.250981,37.8276000000001,Bus,POINT (-122.250981 37.8276000000001),Alameda,46,,,
Alameda-Contra Costa Transit District,Pleasant Valley Av & Gilbert St,1,12,3,46,19,-122.250406,37.8333470000001,Bus,POINT (-122.250406 37.8333470000001),Alameda,46,,,
Alameda-Contra Costa Transit District,S Grimmer Blvd & Old Warm Springs Blvd,2,"215, 239",3,46,18,-121.944,37.50404,Bus,POINT (-121.944 37.50404),Alameda,46,,,
Alameda-Contra Costa Transit District,Hopkins St & Carlotta Av,1,12,3,46,20,-122.279981,37.882577999,Bus,POINT (-122.279981 37.882577999),Alameda,46,,,
Alameda-Contra Costa Transit District,Embarcadero W & Broadway,1,12,3,46,19,-122.276448,37.795124,Bus,POINT (-122.276448 37.795124),Alameda,46,,,
Alameda-Contra Costa Transit District,Bancroft Av & 106th Av,1,40,3,46,16,-122.156650001,37.741411,Bus,POINT (-122.156650001 37.741411),Alameda,46,,,
Alameda-Contra Costa Transit District,Hopkins St & Sacramento St,1,12,3,46,19,-122.283561,37.8807639990001,Bus,POINT (-122.283561 37.8807639990001),Alameda,46,,,
Alameda-Contra Costa Transit District,Grand Av & Jean St,1,12,3,46,19,-122.244941,37.8185990000001,Bus,POINT (-122.244941 37.8185990000001),Alameda,46,,,
Alameda-Contra Costa Transit District,Bancroft Av & Peters St,1,40,3,46,16,-122.129992001,37.707166,Bus,POINT (-122.129992001 37.707166),Alameda,46,,,
Alameda-Contra Costa Transit District,55th St & Shattuck Av,1,12,3,46,19,-122.264215001,37.840381,Bus,POINT (-122.264215001 37.840381),Alameda,160,,,
Alameda-Contra Costa Transit District,51st St & Webster St,1,12,3,46,19,-122.259273,37.8367210000001,Bus,POINT (-122.259273 37.8367210000001),Alameda,46,,,
Alameda-Contra Costa Transit District,Paseo Padre Pkwy & Senior Center,2,"215, 239",3,46,18,-121.966604,37.5459950000001,Bus,POINT (-121.966604 37.5459950000001),Alameda,46,,,
Alameda-Contra Costa Transit District,Bancroft Av & Joaquin Av,1,40,3,46,16,-122.147542,37.726635,Bus,POINT (-122.147542 37.726635),Alameda,46,,,
Alameda-Contra Costa Transit District,Martin Luther King Jr Way & Prince St,1,12,3,46,20,-122.27102,37.8525990000001,Bus,POINT (-122.27102 37.8525990000001),Alameda,46,,,
